nonunique_id,village_id,validation_status,accuracy,farmerDate,gender,age,years_farming,years_membership,literate,education_level,num_wives,wife_trades,wife_food_crops,wife_crafts,num_children,num_young_children,num_older_children,num_children_in_school,children_working,income,transportation,housing_material,access_electricity,access_drinking_water,access_healthcare,num_plots,total_acre,main_crop,secondary_crop,sorghum_acre,soybean_acre,has_bank_account,wants_credit,credit_from_coop,credit_from_third_party,credit_from_bank,loan_amount,loan_rate,has_bridge_loan,bridge_loan_amount,pledged_output,wants_standardized_credit,wants_standardized_credit_amount,input_use,input_cost,inputs_useful,interest_use_inputs,interest_insurance,capacity_to_pay_insurance,use_ag_services,ag_services_quality,ag_services_frequency,interest_ag_services,capacity_to_pay_ag_services,buyer_type,buyer_search_difficulty,last_price_sorghum,last_price_soybean,payment_delay,interest_rapid_payment,harvest_pickup_conditions,need_rapid_pickup,id,year_of_origin,remittance,nonfarm_income,livestock_income,govt_income,farm_maintenance_cost,energy_cost,household_cost,cash_at_start_of_season,bank_name,wants_bridge_loan,wants_bridge_loan_amount,second_cash_crop,second_cash_crop_price,third_cash_crop,third_cash_crop_price,total_ha,tractor,thresher,picker,rototiller,seeder,truck,motorpump,weeder,sprayer,harrower,cart,plough,rental_equipment_cost,has_loan,valid_children,fraction_in_school
73,73.0,Validated,2,2017-11-28 16:54:12,0.0,52.0,20.0,0.0,No,,2.0,0,1,1,11.0,2,5,8,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,12.0,sorghum,maize,3.0,0.0,1.0,3.0,0.0,0.0,,0.0,0.0,50.0,200.0,0.0,Yes,1000.0,2.0,328.0,1.0,1.0,2.0,Less than GHS 200/acr,1.0,2.0,2.0,2.0,Between 5 and 15 Kg/acr,market,1.0,5.0,0.0,2.0,Upon delivery,,,15636890444995739648,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,0.7272727272727273
74,73.0,Validated,2,2017-11-21 10:21:58,0.0,80.0,50.0,0.0,No,,3.0,0,0,1,,4,15,17,3.0,1000.0,1.0,1.0,0.0,1.0,1.0,2.0,20.0,sorghum,maize,1.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,600.0,1.0,2.0,0.0,,1.0,1.0,2.0,0.0,,market,1.0,5.0,0.0,2.0,Upon delivery,,,15644879801950879744,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False,
75,73.0,Validated,2,2017-12-05 10:46:22,0.0,55.0,30.0,0.0,No,,3.0,0,0,1,7.0,3,2,3,1.0,700.0,0.0,1.0,0.0,1.0,1.0,2.0,10.0,sorghum,maize,2.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,2.0,90.0,2.0,2.0,2.0,Between GHS 400 and 800/acr,1.0,1.0,2.0,2.0,5 Kg/acr,market,1.0,3.0,0.0,2.0,Upon delivery,2.0,2.0,13277218681933049856,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,0.42857142857142855
76,73.0,Validated,2,2017-11-21 10:01:33,0.0,50.0,34.0,0.0,No,,2.0,0,0,1,8.0,3,4,5,1.0,1500.0,1.0,1.0,0.0,1.0,1.0,2.0,7.0,sorghum,,1.5,0.0,1.0,3.0,0.0,1.0,0.0,200.0,10.0,0.0,0.0,0.0,Yes,500.0,2.0,540.0,2.0,0.0,0.0,,1.0,1.0,2.0,1.0,Between 5 and 15 Kg/acr,market,0.0,2.0,0.0,2.0,Upon delivery,,,13568254656802590720,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,0.625
77,73.0,Validated,2,2017-11-27 09:23:36,0.0,60.0,40.0,0.0,No,Primary,1.0,0,0,1,2.0,0,0,0,1.0,2500.0,1.0,1.0,0.0,1.0,1.0,3.0,7.0,sorghum,maize,1.0,0.0,0.0,2.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,,1.0,1.0,1.0,2.0,Between 15 and 30 kg/acr,coop,1.0,2.0,0.0,2.0,Upon delivery,,,17491775450337400832,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0
78,73.0,Validated,1,2017-11-20 16:31:55,2.0,40.0,25.0,0.0,No,,0.0,0,0,0,5.0,2,2,5,1.0,900.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,sorghum,maize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,200.0,2.0,1.0,0.0,,1.0,1.0,1.0,1.0,5 Kg/acr,coop,1.0,4.0,0.0,2.0,Within 24 hours after delivery,1.0,2.0,15465726864269340672,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,1.0
79,73.0,Validated,3,2017-11-21 10:19:27,0.0,35.0,15.0,0.0,Yes,Primary,1.0,1,0,0,3.0,2,1,2,0.0,5000.0,3.0,1.0,0.0,1.0,1.0,2.0,7.0,sorghum,maize,0.0,0.0,0.0,2.0,1.0,1.0,0.0,300.0,18.0,0.0,0.0,2.0,Yes,1000.0,2.0,,2.0,1.0,0.0,,1.0,1.0,1.0,2.0,Between 30 and 50 Kg/acr,lender,1.0,2.0,0.0,2.0,Upon delivery,0.0,2.0,17470342633807200256,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,0.6666666666666666
88,73.0,Validated,2,2017-11-27 09:30:57,2.0,40.0,20.0,0.0,No,,0.0,0,0,0,9.0,3,4,7,1.0,1500.0,1.0,1.0,0.0,1.0,1.0,3.0,15.0,sorghum,maize,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,500.0,1.0,0.0,0.0,,1.0,1.0,1.0,,,market,1.0,2.0,0.0,2.0,Upon delivery,,,2009393440153312000,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True,0.7777777777777778
89,73.0,Validated,2,2017-11-27 09:08:28,0.0,51.0,40.0,0.0,No,,2.0,0,0,1,,4,9,9,1.0,1000.0,1.0,1.0,0.0,1.0,1.0,3.0,20.0,sorghum,,3.0,0.0,0.0,3.0,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,,0.0,2.0,1200.0,2.0,0.0,0.0,,1.0,1.0,1.0,1.0,Between 15 and 30 kg/acr,market,1.0,2.0,0.0,2.0,Upon delivery,,,13067099553337190400,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
90,73.0,Validated,2,2017-11-27 10:04:35,0.0,79.0,70.0,0.0,Yes,Secondary,3.0,0,0,1,19.0,2,4,6,1.0,5000.0,3.0,1.0,0.0,1.0,1.0,2.0,11.0,sorghum,maize,2.0,0.0,1.0,3.0,0.0,0.0,1.0,300.0,18.0,0.0,0.0,0.0,No,0.0,2.0,392.0,2.0,0.0,2.0,Between GHS 200 and 400/acr,1.0,1.0,3.0,2.0,Between 15 and 30 kg/acr,coop,1.0,2.0,0.0,2.0,Upon delivery,,,9665719512579813376,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,0.3157894736842105
