nonunique_id,village_id,validation_status,accuracy,farmerDate,gender,age,years_farming,years_membership,literate,education_level,num_wives,wife_trades,wife_food_crops,wife_crafts,num_children,num_young_children,num_older_children,num_children_in_school,children_working,income,transportation,housing_material,access_electricity,access_drinking_water,access_healthcare,num_plots,total_acre,main_crop,secondary_crop,sorghum_acre,soybean_acre,has_bank_account,wants_credit,credit_from_coop,credit_from_third_party,credit_from_bank,loan_amount,loan_rate,has_bridge_loan,bridge_loan_amount,pledged_output,wants_standardized_credit,wants_standardized_credit_amount,input_use,input_cost,inputs_useful,interest_use_inputs,interest_insurance,capacity_to_pay_insurance,use_ag_services,ag_services_quality,ag_services_frequency,interest_ag_services,capacity_to_pay_ag_services,buyer_type,buyer_search_difficulty,last_price_sorghum,last_price_soybean,payment_delay,interest_rapid_payment,harvest_pickup_conditions,need_rapid_pickup,id,year_of_origin,remittance,nonfarm_income,livestock_income,govt_income,farm_maintenance_cost,energy_cost,household_cost,cash_at_start_of_season,bank_name,wants_bridge_loan,wants_bridge_loan_amount,second_cash_crop,second_cash_crop_price,third_cash_crop,third_cash_crop_price,total_ha,tractor,thresher,picker,rototiller,seeder,truck,motorpump,weeder,sprayer,harrower,cart,plough,rental_equipment_cost,has_loan,valid_children,fraction_in_school
10,9.0,Validated,3,2020-05-03 18:55:38,0.0,29.0,15.0,2.0,Yes,Primary,2.0,0,0,1,2.0,1,1,1,0.0,2000.0,3.0,1.0,1.0,0.0,1.0,3.0,,soybean,maize,,,,3.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,,,2.0,900.0,2.0,2.0,0.0,,,1.0,1.0,0.0,,market,1.0,,5.0,2.0,Upon delivery,2.0,2.0,8538702358332181504,2020,200.0,1000.0,200.0,0.0,300.0,200.0,5.0,500.0,,0.0,0.0,maize,12.0,,0.0,9.0,Borrowed,Borrowed,Borrowed,Borrowed,Owned,Borrowed,Not used,Borrowed,Owned,Borrowed,Borrowed,Borrowed,0.0,,True,0.5
11,9.0,Validated,2,2020-05-01 15:10:02,0.0,43.0,30.0,5.0,Yes,Primary,2.0,0,1,0,12.0,3,9,6,1.0,8000.0,3.0,1.0,1.0,0.0,1.0,3.0,,soybean,maize,,,,4.0,0.0,0.0,0.0,3000.0,5.0,0.0,0.0,0.0,,,2.0,,2.0,2.0,2.0,Less than GHS 200/acr,,2.0,1.0,2.0,Between 5 and 15 Kg/ha,market,1.0,,5.0,2.0,Upon delivery,2.0,2.0,6013322212671375360,2020,500.0,0.0,,0.0,500.0,,300.0,1000.0,,0.0,0.0,maize,12.0,,0.0,,Borrowed,Borrowed,Borrowed,Borrowed,Owned,Borrowed,Not used,Not used,Owned,Borrowed,Borrowed,Borrowed,0.0,1.0,True,0.5
12,9.0,Validated,2,2020-04-02 16:36:18,0.0,23.0,10.0,0.0,No,,2.0,0,0,0,2.0,1,1,1,0.0,4000.0,3.0,1.0,1.0,0.0,0.0,3.0,,soybean,maize,,,,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,2.0,1000.0,2.0,2.0,0.0,,,2.0,1.0,2.0,Between 5 and 15 Kg/ha,market,1.0,,5.0,2.0,Upon delivery,2.0,2.0,15273374300442480640,2020,300.0,,0.0,0.0,1000.0,500.0,250.0,1000.0,0.0,0.0,500.0,,0.0,,0.0,11.0,Borrowed,Borrowed,Borrowed,,Not used,Borrowed,Not used,Not used,Owned,Borrowed,Not used,Owned,0.0,,True,0.5
13,9.0,Validated,2,2020-05-02 21:38:20,0.0,27.0,15.0,2.0,Yes,Primary,2.0,0,0,0,6.0,3,3,4,1.0,2000.0,3.0,1.0,1.0,0.0,0.0,4.0,,maize,,,,,4.0,1.0,0.0,,5000.0,5.0,0.0,0.0,0.0,,,2.0,1500.0,2.0,2.0,0.0,,,2.0,1.0,2.0,Between 5 and 15 Kg/ha,market,1.0,,5.0,2.0,Upon delivery,2.0,2.0,9890462698588991488,2020,200.0,3000.0,200.0,0.0,300.0,125.0,100.0,2000.0,,0.0,0.0,maize,6.0,,0.0,18.0,Borrowed,Borrowed,Borrowed,Borrowed,Borrowed,Borrowed,Not used,,Owned,Borrowed,,Borrowed,0.0,1.0,True,0.6666666666666666
14,9.0,Validated,2,2020-04-18 10:49:16,0.0,29.0,15.0,2.0,Yes,Primary,1.0,0,0,0,3.0,2,1,2,0.0,1500.0,3.0,1.0,1.0,0.0,1.0,3.0,,soybean,maize,,,,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,2.0,1000.0,2.0,2.0,0.0,,,1.0,1.0,0.0,,market,1.0,,5.0,2.0,One week after delivery,1.0,2.0,3764311457435171840,2020,200.0,2000.0,100.0,0.0,500.0,0.0,100.0,1500.0,,0.0,0.0,,0.0,,0.0,15.0,Borrowed,Borrowed,Borrowed,Not used,Borrowed,Borrowed,Not used,Borrowed,Owned,Borrowed,Not used,Borrowed,0.0,,True,0.6666666666666666
15,9.0,Validated,2,2020-04-06 14:35:12,0.0,48.0,30.0,5.0,No,Not literate,1.0,0,0,0,18.0,3,15,3,1.0,5000.0,3.0,1.0,1.0,0.0,0.0,2.0,,soybean,maize,,,,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,,,2.0,800.0,2.0,2.0,0.0,,,2.0,1.0,1.0,,merchant,1.0,,5.0,2.0,Upon delivery,2.0,2.0,2734443587414227968,2020,500.0,1000.0,600.0,0.0,0.0,500.0,300.0,0.0,,0.0,0.0,maize,0.0,,0.0,20.0,Borrowed,Borrowed,Borrowed,Borrowed,Borrowed,Borrowed,Borrowed,,Owned,Borrowed,,Borrowed,0.0,1.0,True,0.16666666666666666
16,9.0,Validated,2,2020-04-06 14:26:47,0.0,32.0,20.0,0.0,No,Not literate,2.0,1,0,0,6.0,3,3,4,0.0,2200.0,3.0,1.0,1.0,0.0,1.0,3.0,,soybean,peanut,,,,4.0,0.0,0.0,0.0,1000.0,5.0,0.0,0.0,0.0,,,2.0,1200.0,2.0,1.0,0.0,,,1.0,1.0,1.0,,merchant,1.0,,5.0,2.0,Upon delivery,2.0,2.0,17390454407054520320,2020,200.0,1000.0,200.0,0.0,0.0,100.0,150.0,100.0,,0.0,0.0,maize,6.0,URice,0.0,,Borrowed,Rented,Borrowed,Not used,Rented,Not used,Not used,Not used,Owned,Borrowed,Not used,Borrowed,0.0,1.0,True,0.6666666666666666
17,10.0,Validated,2,2020-04-06 13:26:28,2.0,47.0,32.0,0.0,No,Not literate,1.0,0,1,0,5.0,0,5,2,1.0,1300.0,2.0,1.0,0.0,0.0,0.0,1.0,,maize,soybean,,,,3.0,0.0,1.0,0.0,600.0,26.0,0.0,0.0,0.0,,,4.0,350.0,2.0,2.0,0.0,,1.0,0.0,4.0,0.0,,market,1.0,,4.0,2.0,Upon delivery,2.0,2.0,4022414309092717056,2020,100.0,200.0,200.0,0.0,150.0,80.0,40.0,70.0,,0.0,0.0,maize,2.0,peanut,4.0,0.8,Rented,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Rented,Not used,Not used,Rented,240.0,1.0,True,0.4
18,10.0,Validated,2,2020-04-17 19:10:28,0.0,37.0,17.0,0.0,Yes,Secondary,1.0,1,0,0,4.0,1,3,3,1.0,2000.0,1.0,1.0,0.0,0.0,0.0,1.0,,soybean,peanut,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,240.0,2.0,2.0,0.0,,1.0,0.0,4.0,0.0,,market,1.0,,4.0,2.0,Upon delivery,2.0,2.0,16004359107487520768,2020,0.0,400.0,20.0,0.0,60.0,40.0,60.0,200.0,,0.0,0.0,maize,2.0,peanut,4.0,0.4,Rented,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Rented,Not used,Not used,Rented,120.0,0.0,True,0.75
19,10.0,Validated,2,2020-05-02 21:36:40,2.0,55.0,12.0,0.0,No,Not literate,1.0,0,1,0,6.0,1,5,2,3.0,600.0,1.0,1.0,0.0,0.0,0.0,1.0,,soybean,peanut,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,160.0,2.0,2.0,0.0,,1.0,0.0,4.0,0.0,,market,1.0,,4.0,2.0,Upon delivery,2.0,2.0,8425371324962163712,2020,200.0,0.0,0.0,0.0,200.0,40.0,60.0,100.0,,0.0,0.0,maize,2.0,peanut,4.0,0.4,Rented,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Rented,Not used,Not used,Rented,140.0,0.0,True,0.3333333333333333
