coop_name,coop_size,gender_nanmean,gender_nanmedian,gender_N,age_nanmean,age_nanmedian,age_N,years_farming_nanmean,years_farming_nanmedian,years_farming_N,num_wives_nanmean,num_wives_nanmedian,num_wives_N,wife_trades_nanmean,wife_trades_nanmedian,wife_trades_N,wife_food_crops_nanmean,wife_food_crops_nanmedian,wife_food_crops_N,wife_crafts_nanmean,wife_crafts_nanmedian,wife_crafts_N,num_children_nanmean,num_children_nanmedian,num_children_N,num_young_children_nanmean,num_young_children_nanmedian,num_young_children_N,num_older_children_nanmean,num_older_children_nanmedian,num_older_children_N,num_children_in_school_nanmean,num_children_in_school_nanmedian,num_children_in_school_N,children_working_nanmean,children_working_nanmedian,children_working_N,housing_material_nanmean,housing_material_nanmedian,housing_material_N,access_electricity_nanmean,access_electricity_nanmedian,access_electricity_N,access_drinking_water_nanmean,access_drinking_water_nanmedian,access_drinking_water_N,access_healthcare_nanmean,access_healthcare_nanmedian,access_healthcare_N,wants_credit_nanmean,wants_credit_nanmedian,wants_credit_N,credit_from_coop_nanmean,credit_from_coop_nanmedian,credit_from_coop_N,credit_from_third_party_nanmean,credit_from_third_party_nanmedian,credit_from_third_party_N,credit_from_bank_nanmean,credit_from_bank_nanmedian,credit_from_bank_N,has_loan_nanmean,has_loan_nanmedian,has_loan_N,loan_amount_nanmean,loan_amount_nanmedian,loan_amount_N,loan_rate_nanmean,loan_rate_nanmedian,loan_rate_N,has_bridge_loan_nanmean,has_bridge_loan_nanmedian,has_bridge_loan_N,bridge_loan_amount_nanmean,bridge_loan_amount_nanmedian,bridge_loan_amount_N,pledged_output_nanmean,pledged_output_nanmedian,pledged_output_N,wants_bridge_loan_nanmean,wants_bridge_loan_nanmedian,wants_bridge_loan_N,wants_bridge_loan_amount_nanmean,wants_bridge_loan_amount_nanmedian,wants_bridge_loan_amount_N,input_use_nanmean,input_use_nanmedian,input_use_N,input_cost_nanmean,input_cost_nanmedian,input_cost_N,inputs_useful_nanmean,inputs_useful_nanmedian,inputs_useful_N,interest_use_inputs_nanmean,interest_use_inputs_nanmedian,interest_use_inputs_N,interest_insurance_nanmean,interest_insurance_nanmedian,interest_insurance_N,use_ag_services_nanmean,use_ag_services_nanmedian,use_ag_services_N,ag_services_quality_nanmean,ag_services_quality_nanmedian,ag_services_quality_N,ag_services_frequency_nanmean,ag_services_frequency_nanmedian,ag_services_frequency_N,interest_ag_services_nanmean,interest_ag_services_nanmedian,interest_ag_services_N,last_price_nanmean,last_price_nanmedian,last_price_N,num_plots_nanmean,num_plots_nanmedian,num_plots_N,total_ha_nanmean,total_ha_nanmedian,total_ha_N,fraction_in_school_nanmean,fraction_in_school_nanmedian,fraction_in_school_N,fraction_in_school_binned_nanmean,fraction_in_school_binned_nanmedian,fraction_in_school_binned_N,num_older_children_binned_nanmean,num_older_children_binned_nanmedian,num_older_children_binned_N,num_young_children_binned_nanmean,num_young_children_binned_nanmedian,num_young_children_binned_N,income_nanmean,income_nanmedian,income_N,nonzero_income_nanmean,nonzero_income_nanmedian,nonzero_income_N,income_binned_nanmean,income_binned_nanmedian,income_binned_N,num_plots_binned_nanmean,num_plots_binned_nanmedian,num_plots_binned_N,years_farming_binned_nanmean,years_farming_binned_nanmedian,years_farming_binned_N,age_binned_nanmean,age_binned_nanmedian,age_binned_N,num_children_binned_nanmean,num_children_binned_nanmedian,num_children_binned_N,num_wives_binned_nanmean,num_wives_binned_nanmedian,num_wives_binned_N,education_level_binned_nanmean,education_level_binned_nanmedian,education_level_binned_N,wife_roles_nanmean,wife_roles_nanmedian,wife_roles_N,creditworthy_nanmean,creditworthy_nanmedian,creditworthy_N
it1,16,0.0625,0.0,16.0,55.875,50.5,16.0,26.125,30.0,16.0,1.1875,1.0,16,0.375,0,16,0.375,0,16,0.0,0,16,7.5625,8.5,16.0,1.3125,1.0,16,2.5625,2.5,16,3.8125,3.5,16,1.6666666666666667,2.0,15.0,1.5,2.0,16.0,0.75,1.0,16.0,2.0,2.0,16.0,0.875,1.0,16.0,1.5,1.5,16.0,0.8125,1.0,16.0,0.5,0.0,16.0,0.6875,1.0,16.0,0.625,1.0,16.0,209500.0,125000.0,10.0,11.8,10.5,10.0,47500.0,0.0,16.0,52437.5,0,16,0.0625,0.0,16.0,0.3076923076923077,0.0,13.0,48750.0,0.0,16.0,3.4375,4.0,16.0,116593.75,92500.0,16.0,1.25,1.0,16.0,1.3125,2.0,16.0,0.875,0.0,16.0,1.0625,1.0,16.0,1.25,1.0,16.0,2.933333333333333,3.0,15.0,1.125,1.5,16.0,218.75,225.0,16.0,3.9375,4.5,16.0,1.4006250000000002,1.48,16.0,0.5219818376068376,0.5,16.0,1.875,2.0,16.0,0.8125,1.0,16.0,0.6875,1.0,16.0,163980.0,0.0,16.0,374811.4285714286,200000.0,7.0,0.8125,0.0,16.0,1.25,2.0,16.0,2.25,3.0,16.0,2.9375,3.0,16.0,1.4375,2.0,16.0,1.125,1.0,16.0,0.0625,0.0,16.0,0.8571428571428571,1.0,14.0,0.625,1.0,16.0
it2,30,0.23333333333333334,0.0,30.0,52.56666666666667,53.0,30.0,35.733333333333334,34.0,30.0,0.8,1.0,30,0.3,0,30,0.1,0,30,0.0,0,30,7.666666666666667,7.0,30.0,1.5,1.0,30,3.2333333333333334,3.0,30,4.633333333333334,4.0,30,1.6538461538461537,2.0,26.0,1.9333333333333333,2.0,30.0,0.9666666666666667,1.0,30.0,2.0,2.0,30.0,1.0,1.0,30.0,1.4333333333333333,1.0,30.0,0.8666666666666667,1.0,30.0,0.5333333333333333,1.0,30.0,0.13333333333333333,0.0,30.0,0.13333333333333333,0.0,30.0,100000.0,100000.0,3.0,18.0,18.0,4.0,21666.666666666668,0.0,30.0,21666.666666666668,0,30,0.2222222222222222,0.0,27.0,0.047619047619047616,0.0,21.0,15000.0,0.0,30.0,2.9,3.0,30.0,74000.0,60000.0,30.0,0.8,1.0,30.0,0.5333333333333333,0.0,30.0,0.5666666666666667,0.0,30.0,1.0333333333333334,1.0,30.0,0.5,0.5,30.0,2.0344827586206895,3.0,29.0,1.0,1.0,29.0,252.5,300.0,30.0,5.166666666666667,5.0,30.0,1.5931034482758621,1.74,29.0,0.5773089332526717,0.6,29.0,2.1724137931034484,3.0,29.0,1.1333333333333333,1.0,30.0,0.6333333333333333,1.0,30.0,37666.666666666664,0.0,30.0,282500.0,45000.0,4.0,0.1,0.0,30.0,1.8333333333333333,2.0,30.0,2.8333333333333335,3.0,30.0,2.7666666666666666,3.0,30.0,1.3666666666666667,1.0,30.0,0.8,1.0,30.0,0.034482758620689655,0.0,29.0,0.4782608695652174,0.0,23.0,0.13333333333333333,0.0,30.0
it399999999,20,0.35,0.0,20.0,55.1,56.0,20.0,39.6,40.0,20.0,0.85,1.0,20,0.15,0,20,0.1,0,20,0.0,0,20,7.15,7.0,20.0,1.6,1.0,20,2.65,2.0,20,3.75,3.0,20,1.625,1.0,16.0,1.411764705882353,2.0,17.0,0.5,0.5,20.0,2.0,2.0,20.0,0.65,1.0,20.0,1.0526315789473684,1.0,19.0,0.7,1.0,20.0,0.35,0.0,20.0,0.05,0.0,20.0,0.05,0.0,20.0,200000.0,200000.0,1.0,20.0,20.0,1.0,22500.0,0.0,20.0,22500.0,0,20,0.0,0.0,16.0,0.08333333333333333,0.0,12.0,17500.0,0.0,20.0,2.95,4.0,20.0,58000.0,52500.0,20.0,0.45,0.0,20.0,0.5263157894736842,0.0,19.0,0.95,0.5,20.0,1.1,1.0,20.0,0.55,0.5,20.0,2.4,3.0,20.0,1.05,1.0,20.0,192.5,250.0,20.0,5.1,5.0,20.0,1.8775,1.82,20.0,0.4681704260651629,0.42857142857142855,19.0,1.8421052631578947,2.0,19.0,1.05,1.0,20.0,0.8,1.0,20.0,2500.0,0.0,20.0,50000.0,50000.0,1.0,0.0,0.0,20.0,1.85,2.0,20.0,2.9,3.0,20.0,2.95,3.0,20.0,1.25,1.0,20.0,0.85,1.0,20.0,0.0,0.0,20.0,0.3333333333333333,0.0,15.0,0.05,0.0,20.0
IT49999999,30,0.3,0.0,30.0,51.2,51.0,30.0,36.233333333333334,39.5,30.0,0.8,1.0,30,0.3,0,30,0.03333333333333333,0,30,0.0,0,30,5.758620689655173,5.0,29.0,1.0666666666666667,0.5,30,2.433333333333333,2.0,30,3.033333333333333,2.0,30,1.08,1.0,25.0,1.6666666666666667,2.0,30.0,0.6333333333333333,1.0,30.0,2.0,2.0,30.0,0.9,1.0,30.0,1.5333333333333334,1.0,30.0,0.9333333333333333,1.0,30.0,0.5,0.5,30.0,0.27586206896551724,0.0,29.0,0.26666666666666666,0.0,30.0,146875.0,100000.0,8.0,17.25,18.0,8.0,52166.666666666664,0.0,30.0,54466.666666666664,0,30,0.6190476190476191,0.0,21.0,0.2631578947368421,0.0,19.0,86000.0,0.0,30.0,3.1333333333333333,4.0,30.0,68833.33333333333,75000.0,30.0,1.0333333333333334,1.0,30.0,0.7333333333333333,0.0,30.0,1.4,2.0,30.0,1.1333333333333333,1.0,30.0,0.6,1.0,30.0,2.533333333333333,3.0,30.0,1.3333333333333333,2.0,30.0,257.7586206896552,300.0,29.0,4.866666666666666,5.0,30.0,1.9026666666666663,1.7,30.0,0.4669606114050559,0.42857142857142855,27.0,2.074074074074074,2.0,27.0,0.9666666666666667,1.0,30.0,0.5333333333333333,0.5,30.0,15833.333333333334,0.0,30.0,158333.33333333334,175000.0,3.0,0.16666666666666666,0.0,30.0,1.8333333333333333,2.0,30.0,2.7666666666666666,3.0,30.0,2.6,3.0,30.0,1.0689655172413792,1.0,29.0,0.7666666666666667,1.0,30.0,0.0,0.0,30.0,0.4,0.0,20.0,0.27586206896551724,0.0,29.0
Bewet,15,0.2,0.0,15.0,54.06666666666667,51.0,15.0,31.0,30.0,15.0,0.6666666666666666,1.0,15,0.26666666666666666,0,15,0.26666666666666666,0,15,0.0,0,15,6.866666666666666,6.0,15.0,1.4666666666666666,2.0,15,2.3333333333333335,2.0,15,2.466666666666667,2.0,15,1.3333333333333333,1.0,12.0,1.4666666666666666,2.0,15.0,0.6,1.0,15.0,2.0,2.0,15.0,0.7333333333333333,1.0,15.0,2.466666666666667,3.0,15.0,0.9333333333333333,1.0,15.0,0.5333333333333333,1.0,15.0,0.06666666666666667,0.0,15.0,0.06666666666666667,0.0,15.0,50000.0,50000.0,1.0,18.0,18.0,1.0,17000.0,0.0,15.0,17000.0,0,15,1.1428571428571428,2.0,7.0,0.375,0.0,8.0,60000.0,50000.0,15.0,3.2,4.0,15.0,65333.333333333336,75000.0,15.0,1.2,1.0,15.0,1.3333333333333333,2.0,15.0,1.7333333333333334,2.0,15.0,0.9333333333333333,1.0,15.0,0.4666666666666667,0.0,15.0,2.6,3.0,15.0,1.3333333333333333,2.0,15.0,183.33333333333334,200.0,15.0,4.533333333333333,5.0,15.0,1.854666666666667,1.82,15.0,0.3223778400248989,0.3333333333333333,15.0,1.4666666666666666,2.0,15.0,0.8666666666666667,1.0,15.0,0.6,1.0,15.0,2666.6666666666665,0.0,15.0,40000.0,40000.0,1.0,0.0,0.0,15.0,1.6666666666666667,2.0,15.0,2.2666666666666666,3.0,15.0,2.933333333333333,3.0,15.0,1.3333333333333333,1.0,15.0,0.6666666666666666,1.0,15.0,0.0,0.0,15.0,0.7,1.0,10.0,0.06666666666666667,0.0,15.0
Donaye 5,18,0.3333333333333333,0.0,18.0,56.44444444444444,57.5,18.0,35.5,35.0,18.0,0.8333333333333334,1.0,18,0.2777777777777778,0,18,0.05555555555555555,0,18,0.0,0,18,5.777777777777778,5.0,18.0,0.6666666666666666,0.0,18,1.8888888888888888,2.0,18,1.4444444444444444,1.0,18,2.4705882352941178,4.0,17.0,1.2777777777777777,1.5,18.0,0.5,0.5,18.0,1.6666666666666667,2.0,18.0,0.8888888888888888,1.0,18.0,1.4444444444444444,1.0,18.0,0.8333333333333334,1.0,18.0,0.8888888888888888,1.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,,,0.0,,,0.0,17222.222222222223,0.0,18.0,17222.222222222223,0,18,0.5714285714285714,0.0,14.0,0.14285714285714285,0.0,14.0,16666.666666666668,0.0,18.0,3.111111111111111,4.0,18.0,65277.77777777778,65000.0,18.0,1.0,1.0,18.0,1.1111111111111112,1.5,18.0,1.3333333333333333,2.0,18.0,0.9444444444444444,1.0,18.0,0.7058823529411765,1.0,17.0,3.0,3.0,17.0,0.8333333333333334,0.0,18.0,261.1111111111111,275.0,18.0,4.5,5.0,18.0,1.6288888888888886,1.6600000000000001,18.0,0.3182237600922722,0.25,17.0,1.411764705882353,1.0,17.0,0.7777777777777778,1.0,18.0,0.4444444444444444,0.0,18.0,11111.111111111111,0.0,18.0,200000.0,200000.0,1.0,0.1111111111111111,0.0,18.0,1.5555555555555556,2.0,18.0,2.7222222222222223,3.0,18.0,2.888888888888889,3.5,18.0,0.9444444444444444,1.0,18.0,0.8333333333333334,1.0,18.0,0.05555555555555555,0.0,18.0,0.5,0.5,12.0,0.0,0.0,18.0
Donaye 6,40,0.175,0.0,40.0,52.075,51.0,40.0,31.4,30.0,40.0,1.025,1.0,40,0.175,0,40,0.3,0,40,0.0,0,40,7.45,7.0,40.0,1.9,2.0,40,3.35,3.5,40,2.65,3.0,40,1.1142857142857143,1.0,35.0,1.45,2.0,40.0,0.35,0.0,40.0,1.575,2.0,40.0,0.9,1.0,40.0,1.7,1.0,40.0,0.85,1.0,40.0,0.725,1.0,40.0,0.07692307692307693,0.0,39.0,0.05128205128205128,0.0,39.0,122666.66666666667,50000.0,3.0,18.0,18.0,2.0,9000.0,0.0,40.0,9000.0,0,40,0.28,0.0,25.0,0.08,0.0,25.0,16250.0,0.0,40.0,3.075,4.0,40.0,62250.0,60000.0,40.0,0.975,0.5,40.0,0.9,0.0,40.0,1.55,2.0,40.0,0.95,1.0,40.0,0.5,0.0,40.0,1.875,1.0,40.0,0.85,0.0,40.0,218.75,225.0,40.0,4.7,5.0,40.0,1.7362499999999996,1.76,40.0,0.3663248556998556,0.3875,40.0,1.625,2.0,40.0,1.175,1.0,40.0,0.8,1.0,40.0,8250.0,0.0,40.0,110000.0,100000.0,3.0,0.075,0.0,40.0,1.725,2.0,40.0,2.55,3.0,40.0,2.6,3.0,40.0,1.4,1.0,40.0,1.025,1.0,40.0,0.0,0.0,39.0,0.6129032258064516,1.0,31.0,0.05263157894736842,0.0,38.0
Donaye 8,19,0.2631578947368421,0.0,19.0,49.05263157894737,52.0,19.0,35.05263157894737,40.0,19.0,0.7894736842105263,1.0,19,0.10526315789473684,0,19,0.10526315789473684,0,19,0.0,0,19,6.473684210526316,5.0,19.0,0.8421052631578947,0.0,19,3.0,2.0,19,3.736842105263158,3.0,19,0.7777777777777778,1.0,18.0,1.894736842105263,2.0,19.0,0.7368421052631579,1.0,19.0,2.0,2.0,19.0,0.9473684210526315,1.0,19.0,2.210526315789474,2.0,19.0,1.0,1.0,19.0,0.8947368421052632,1.0,19.0,0.10526315789473684,0.0,19.0,0.10526315789473684,0.0,19.0,150000.0,150000.0,2.0,18.0,18.0,2.0,4736.8421052631575,0.0,19.0,4736.8421052631575,0,19,0.0,0.0,13.0,0.07142857142857142,0.0,14.0,15789.473684210527,0.0,19.0,3.210526315789474,4.0,19.0,61315.78947368421,60000.0,19.0,0.0,0.0,19.0,0.0,0.0,18.0,2.0,2.0,19.0,0.9473684210526315,1.0,19.0,0.5789473684210527,1.0,19.0,2.263157894736842,3.0,19.0,1.894736842105263,2.0,19.0,268.42105263157896,300.0,19.0,3.736842105263158,4.0,19.0,1.3842105263157896,1.32,19.0,0.5190988835725677,0.6,19.0,2.210526315789474,3.0,19.0,1.0,1.0,19.0,0.42105263157894735,0.0,19.0,25000.0,0.0,19.0,118750.0,125000.0,4.0,0.21052631578947367,0.0,19.0,1.368421052631579,2.0,19.0,2.6842105263157894,3.0,19.0,2.473684210526316,3.0,19.0,1.263157894736842,1.0,19.0,0.7894736842105263,1.0,19.0,0.0,0.0,19.0,0.3076923076923077,0.0,13.0,0.10526315789473684,0.0,19.0
projet Camara,10,0.5,0.5,10.0,50.8,50.0,10.0,34.0,37.5,10.0,0.5,0.5,10,0.1,0,10,0.1,0,10,0.0,0,10,8.4,8.0,10.0,2.3,2.0,10,4.9,4.0,10,5.2,4.0,10,1.2,1.0,10.0,1.9,2.0,10.0,0.7,1.0,10.0,2.0,2.0,10.0,1.1,1.0,10.0,2.1,2.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,0.2,0.0,10.0,0.2,0.0,10.0,250000.0,250000.0,2.0,18.0,18.0,2.0,0.0,0.0,10.0,0.0,0,10,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,10.0,3.9,4.0,10.0,66000.0,70000.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,2.0,2.0,10.0,0.9,1.0,10.0,0.3,0.0,10.0,1.6,1.0,10.0,1.2,2.0,10.0,250.0,275.0,10.0,4.6,4.5,10.0,1.5219999999999998,1.52,10.0,0.6441991341991342,0.6904761904761905,10.0,2.5,3.0,10.0,1.5,1.5,10.0,1.0,1.0,10.0,20000.0,0.0,10.0,200000.0,200000.0,1.0,0.2,0.0,10.0,1.6,2.0,10.0,2.8,3.0,10.0,2.6,3.0,10.0,1.3,1.5,10.0,0.5,0.5,10.0,0.2,0.0,10.0,0.4,0.0,5.0,0.2,0.0,10.0
Projet Mbaye,30,0.16666666666666666,0.0,30.0,40.9,40.5,30.0,20.666666666666668,20.0,30.0,0.8666666666666667,1.0,30,0.1,0,30,0.0,0,30,0.0,0,30,7.366666666666666,6.0,30.0,1.1666666666666667,1.0,30,3.066666666666667,2.5,30,4.366666666666666,3.0,30,1.0344827586206897,1.0,29.0,1.6333333333333333,2.0,30.0,0.6666666666666666,1.0,30.0,1.9666666666666666,2.0,30.0,1.0,1.0,30.0,2.3333333333333335,3.0,30.0,0.9333333333333333,1.0,30.0,0.5666666666666667,1.0,30.0,0.03333333333333333,0.0,30.0,0.03333333333333333,0.0,30.0,150000.0,150000.0,1.0,18.0,18.0,1.0,0.0,0.0,30.0,0.0,0,30,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,30.0,3.6,4.0,30.0,62666.666666666664,60000.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,2.0,2.0,30.0,0.6333333333333333,1.0,30.0,0.7142857142857143,1.0,28.0,2.3793103448275863,3.0,29.0,1.9666666666666666,2.0,30.0,258.6,250.0,30.0,2.8,2.0,30.0,0.895,0.74,30.0,0.5349806808688387,0.6333333333333333,28.0,2.0714285714285716,3.0,28.0,0.9666666666666667,1.0,30.0,0.6,1.0,30.0,20500.0,0.0,30.0,153750.0,137500.0,4.0,0.16666666666666666,0.0,30.0,0.9333333333333333,1.0,30.0,1.8333333333333333,2.0,30.0,1.7333333333333334,2.0,30.0,1.3,1.0,30.0,0.8666666666666667,1.0,30.0,0.1724137931034483,0.0,29.0,0.15789473684210525,0.0,19.0,0.03333333333333333,0.0,30.0
