id,village_id,validation_status,accuracy,farmerDate,coop_name,gender,age,years_farming,education_level,num_wives,wife_trades,wife_food_crops,wife_crafts,num_children,num_young_children,num_older_children,num_children_in_school,children_working,income,transportation,housing_material,access_electricity,access_drinking_water,access_healthcare,wants_credit,credit_from_coop,credit_from_third_party,credit_from_bank,loan_amount,loan_rate,has_bridge_loan,bridge_loan_amount,pledged_output,wants_bridge_loan,wants_bridge_loan_amount,input_use,input_cost,inputs_useful,interest_use_inputs,interest_insurance,use_ag_services,ag_services_quality,ag_services_frequency,interest_ag_services,buyer_type,last_price,num_plots,total_ha,main_crop,secondary_crop,has_loan,valid_children,fraction_in_school,coop_id,fraction_in_school_binned,income_binned,num_plots_binned,years_farming_binned,age_binned,num_children_binned,num_older_children_binned,num_young_children_binned,num_wives_binned,education_level_binned,wife_roles,creditworthy,nonzero_income,plot_list
3832,457,Validated,2,2016-12-27 13:08:00,it1,0.0,44.0,15.0,AlphabEtisE,1,1,0,0,5.0,1,4,5,,1000680.0,Moto/Mobylette,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,395000.0,14.0,0.0,0,0.0,0.0,0.0,4.0,100000.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,market,125.0,1.0,0.4,IRice,garden,1.0,True,1.0,0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1000680.0,[7801]
3833,457,Validated,5,2016-12-27 13:08:00,it1,0.0,66.0,15.0,AlphabEtisE,2,0,1,0,6.0,0,6,2,0.0,798000.0,A pied,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,100000.0,7.0,100000.0,115000,0.0,1.0,20000.0,4.0,70000.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,market,125.0,1.0,0.1,IRice,garden,1.0,True,0.3333333333333333,0,2.0,3.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,798000.0,[7244]
3846,457,Validated,3,2016-12-27 13:08:00,it1,0.0,47.0,35.0,AlphabEtisE,1,0,1,0,10.0,5,3,4,0.0,375000.0,A pied,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,90000.0,7.0,60000.0,70000,0.0,1.0,500000.0,4.0,51000.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,market,125.0,8.0,2.75,,garden,1.0,True,0.4,0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,375000.0,[5784]
3847,457,Validated,3,2016-12-27 13:08:00,it1,0.0,82.0,37.0,AlphabEtisE,1,0,1,0,13.0,0,1,13,1.0,100000.0,A pied,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,10000.0,7.0,100000.0,110000,0.0,1.0,10000.0,4.0,24500.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,market,125.0,5.0,2.3,IRice,garden,1.0,True,1.0,0,3.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,100000.0,[5209]
3848,457,Validated,2,2016-12-27 13:08:00,it1,0.0,65.0,35.0,AlphabEtisE,2,1,0,0,9.0,2,2,4,0.0,0.0,A pied,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,500000.0,18.0,500000.0,544000,0.0,1.0,250000.0,4.0,85000.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,market,125.0,8.0,3.08,IRice,garden,1.0,True,0.4444444444444444,0,2.0,0.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,,[5211]
3851,458,Validated,4,2016-12-27 13:08:00,it1,1.0,51.0,10.0,AlphabEtisE,0,0,0,0,1.0,0,0,1,0.0,200000.0,Voiture,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,500000.0,7.0,0.0,0,0.0,0.0,0.0,3.0,300000.0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,market,350.0,6.0,1.0,IRice,IRice,1.0,True,1.0,0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,1.0,200000.0,
3946,458,Validated,2,2016-12-27 13:08:00,it1,0.0,71.0,0.0,Non AlphabEtisE,1,0,0,0,9.0,0,0,2,4.0,50000.0,Moto/Mobylette,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,,,0.0,0,0.0,0.0,0.0,4.0,100000.0,1.0,2.0,0.0,2.0,1.0,,0.0,market,300.0,1.0,0.1,IRice,RRice,0.0,True,0.2222222222222222,0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,50000.0,[7805]
3947,458,Validated,2,2016-12-27 13:08:00,it1,0.0,62.0,20.0,Non AlphabEtisE,1,1,1,0,9.0,1,2,0,4.0,0.0,Voiture,2.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,,,0.0,0,0.0,,0.0,4.0,200000.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,coop,300.0,7.0,2.06,IRice,IRice,0.0,True,0.0,0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,,[5216]
3948,458,Validated,2,2016-12-27 13:08:00,it1,0.0,47.0,40.0,Non AlphabEtisE,0,0,0,0,9.0,3,3,5,2.0,100000.0,Voiture,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,100000.0,7.0,0.0,0,0.0,0.0,0.0,2.0,150000.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,market,300.0,5.0,1.26,IRice,IRice,1.0,True,0.5555555555555556,0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,100000.0,
3949,458,Validated,3,2016-12-27 13:08:00,it1,0.0,43.0,36.0,AlphabEtisE,1,1,1,0,13.0,3,10,11,2.0,0.0,Voiture,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,150000.0,15.0,0.0,0,0.0,0.0,0.0,4.0,200000.0,2.0,2.0,0.0,1.0,2.0,4.0,0.0,market,250.0,1.0,0.4,IRice,IRice,1.0,True,0.8461538461538461,0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,,[5462]
