,Unnamed: 0,plot_ID_from_plot,farm_ID,Object.state,Status,Accuracy,collection_date_from_plot,plot_number,plot_owner,plot_area,plot_boundary,plot_lat_long,plot_soil_type,plot_soil_color,plot_soil_quality,plot_topography,season_ID,plot_ID_from_season,validation,collection_date_from_season,farmed_season1,plot_number_season1,crop_grown_season1,secondary_crop_grown_season1,reason_for_crop_season1,production_season1,labor_type_season1,hired_labor_days_season1,hired_labor_cost_season1,tractor_season1,combine_season1,baler_season1,tiller_season1,seed_drill_season1,van_season1,motor_pump_season1,weeder_season1,sprayer_season1,harrow_season1,cart_season1,plow_season1,other_equipment_season1,used_animal_season1,animal_type_season1,secondary_animal_type_season1,labor_soil_preparation_season1,harrowing_season1,sowing_date_season1,seed_variety_season1,reason_for_seed_variety_season1,row_spacing_season1,seed_amount_season1,num_seeds_per_hole_season1,seed_cost_season1,weed_season1,weed_method_season1,ridging_season1,other_management_season1,used_fertilizer_season1,fertilizer_num_sacks_season1,fertilizer_type_season1,fertilizer_formula_season1,fertilizer_amount_season1,insecticide_season1,insecticide_brand_season1,fungicide_season1,fungicide_brand_season1,herbicide_season1,herbicide_brand_season1,harvest_date_season1,harvest_duration_season1,harvest_num_sacks_season1,kg_per_sack_season1,storage_place_season1,secondary_storage_place_season1,harvest_sold_season1,harvest_sold_place_season1,selling_date_season1,selling_duration_season1,plot_insurance_season1,insurance_premium_season1,insurance_compensation_season1,insurance_compensation_amount_season1,insurance_satisfaction_season1,farmed_season2,plot_number_season2,crop_grown_season2,reason_for_crop_season2,plot_insurance_season2,area_sown_season2,first_rainfall_date_season2,sowing_date_season2,seed_amount_demanded_season2,seed_amount_received_season2,seed_value_season2,seed_variety_season2,seed_provider_season2,seed_payment_method_season2,fertilizer1_application_season2,fertilizer1_type_season2,fertilizer1_why_not_applied_season2,fertilizer1_date_season2,fertilizer1_type_season2.1,fertilizer1_amount_season2,fertilizer1_cost_season2,fertilizer2_application_season2,fertilizer2_date_season2,fertilizer2_type_season2,fertilizer2_amount_season2,fertilize2_cost_season2,used_other_inputs_season2,other_inputs_type_season2,received_credit_season2,credit_amount_demanded_season2,credit_amount_received_season2,credit_source_season2,interest_rate_season2,farmed_dry_season,crop_grown_dry_season,fertilizer_type_dry_season,irrigation_method_dry_season,irrigation_cost_dry_season,irrigation_source_dry_season
0,0,3568,3383,Validated,Enable,10,8/27/16 2:36,1,family,2,5045.39,-16.052315 | 16.461041666667,Autres,black,medium,flat,3469,3568,validated,8/27/16 2:39,yes,3,irrigated_rice,,all_three,12800,paid,120,0,no,no,no,no,no,no,yes,no,yes,no,yes,yes,,no,,,yes,no,2/28/16,certified,good yield,0,120,0,325,no,,yes,,yes,7,DAP/Urea,18 46 oo et 46%,350,yes,furodan,no,,yes,propanil weeden,6/28/16,0,80,82,shop,,0,,0000-00-00,0,no,0,no,0,,no,,,,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
1,1,3723,3491,Validated,Enable,2,10/28/16 8:29,3,owned,0.51,4000,-16.052383333333 | 16.460608333333,Autres,black,medium,flat,3627,3723,validated,10/28/16 8:28,no,,,,,0,,0,0,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,0000-00-00,,,0,0,0,0,,,,,no,0,,,0,,,,,,,0000-00-00,0,0,0,,,0,,0000-00-00,0,no,0,no,0,,no,,,,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
2,2,3725,3508,Validated,Enable,2,10/28/16 9:22,1,family,0.72,7431,-16.054571671956 | 16.463502791981,Autres,black,good,flat,7791,3725,validated,10/28/16 9:24,yes,1,irrigated_rice,,all_three,0,,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,,,,yes,,2/14/16,certified,yield,0,120,0,300,,,,,yes,71,DAP/Urea,,450,,,,,yes,"Propanil, Weedon",6/27/16,6,73,80,shop,,1320,market,7/4/16,1,yes,7100,no,0,moderate,yes,1,irrigated_rice,all_three,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
3,3,3726,3501,Validated,Enable,2,10/28/16 9:17,1,family,0.62,5948,-16.056292277781 | 16.464925494743,Autres,black,good,flat,7792,3726,validated,10/28/16 9:19,yes,1,irrigated_rice,,all_three,0,,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,,,,yes,,2/13/16,certified,yield,0,120,0,300,,,,,yes,59,DAP/Urea,,450,,,,,yes,"Propanil, Weedon",6/26/16,5,63,80,shop,,1120,market,7/4/16,1,yes,5900,no,0,moderate,yes,1,irrigated_rice,all_three,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
4,4,3727,3501,Validated,Enable,2,10/28/16 9:12,2,family,0.4,3947,-16.05635589782 | 16.465229644611,Autres,black,good,flat,7793,3727,validated,10/28/16 9:14,yes,2,irrigated_rice,,all_three,0,family,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,,,,yes,,2/11/16,certified,yield,0,120,0,300,,,,,yes,38,other,,450,,,,,yes,"Propanim, Weedon",6/26/16,5,40,80,shop,,960,market,7/4/16,1,yes,3800,no,0,moderate,yes,2,irrigated_rice,all_three,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
5,5,3728,3501,Validated,Enable,2,11/16/16 14:13,3,family,0.47,4371,-16.056644699733 | 16.465474844094,Autres,black,good,flat,8633,3728,validated,11/16/16 14:15,yes,3,irrigated_rice,,all_three,4,family,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,,,,yes,,2/15/16,certified,yield,0,120,0,300,,,,,yes,4,DAP/Urea,100/100,450,,,,,yes,"Propanil, Weedon",6/25/16,5,50,80,shop,,1200,market,7/3/16,1,yes,4800,no,0,moderate,yes,3,irrigated_rice,all_three,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
6,6,3729,3501,Validated,Enable,2,11/16/16 14:17,4,family,0.43,4352,-16.056444673284 | 16.465868895554,Autres,black,good,flat,8634,3729,validated,11/16/16 14:40,yes,4,irrigated_rice,,all_three,3.64,family,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,,,,yes,,2/14/16,certified,yield,0,120,0,300,,,,,yes,4,DAP/Urea,100/100,450,,,,,yes,"Propanil, Weedon",6/25/16,5,46,80,shop,,1100,market,7/4/16,1,yes,4400,no,0,moderate,yes,4,irrigated_rice,all_three,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
7,7,3730,3496,Validated,Enable,2,9/16/16 16:47,1,owned,0.68,6807,-16.060226666667 | 16.467488333333,Autres,black,good,flat,3897,3730,validated,9/16/16 16:49,yes,1,irrigated_rice,,all_three,5.52,family,0,0,no,no,no,no,no,no,no,no,yes,no,yes,no,,yes,cow,,yes,yes,2/18/16,certified,yield et resistance au sel,0,130,0,300,herbicide,,yes,,yes,6,DAP/Urea,,450,no,,no,,yes,"Propanyl, Weeldon, Londax",6/19/16,45,0,80,shop,,1840,market,6/28/16,2,yes,6800,no,0,moderate,yes,1,irrigated_rice,all_three,yes,67,6/29/16,8/13/16,120,0,0,Sahel 108,local_union,credit,yes,NPK/Urea,,0000-00-00,,0,0,,0000-00-00,,0,0,,,yes,0,217750,bank,5.60%,no,irrigated_rice,DAP/Urea,Raie,81000,hydraulic_pump
8,8,3731,3496,Validated,Enable,2,10/28/16 10:24,2,family,0.55,5267,-16.059633333333 | 16.467185129417,Autres,black,good,flat,7803,3731,validated,10/28/16 10:22,yes,2,irrigated_rice,,all_three,4.72,family,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,,,,yes,,2/15/16,certified,yield,0,120,0,300,,,,,yes,5,DAP/Urea,125/125,450,,,,,yes,"Propanil, Weedon",6/26/16,5,59,80,shop,,1250,market,7/4/16,1,yes,5400,no,0,moderate,yes,2,irrigated_rice,all_three,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
9,9,3732,3496,Validated,Enable,2,11/16/16 10:58,3,owned,0.62,6221,-16.059280423279 | 16.467315339851,Autres,brown-black,good,flat,8622,3732,validated,11/16/16 11:00,yes,3,irrigated_rice,,all_three,5.28,family,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,,,,yes,,2/14/16,certified,yield et resistance au sel,0,120,0,300,,,,,yes,6,DAP/Urea,150/150,450,,,,,yes,"Propanil, Weedon",6/25/16,5,66,80,shop,,1250,market,7/1/16,1,yes,6200,no,0,moderate,yes,3,irrigated_rice,all_three,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
10,10,3733,3496,Validated,Enable,2,9/16/16 18:50,4,family,0.69,7009.89,-16.058848333333 | 16.466768333333,Autres,black-brown,good,flat,3896,3733,validated,11/16/16 9:09,yes,1,irrigated_rice,,all_three,3.4,family,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,,,,no,yes,2/16/16,certified,yield,0,130,0,300,,,,,yes,5,DAP/Urea,125/125,450,,,,,yes,propanil  weeldon,6/25/16,4,87,80,shop,,1500,market,7/6/16,1,yes,8700,no,0,entirely,yes,1,irrigated_rice,all_three,yes,87,6/29/16,8/23/16,90,90,27000,Sahel 108,local_union,credit,yes,Urea,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
11,11,3750,3531,Validated,Enable,2,8/30/16 0:24,1,owned,2,4858,-16.052323333333 | 16.461053333333,Deck,brown,medium,flat,3642,3750,validated,8/30/16 0:26,yes,3,irrigated_rice,,subsistence,11.05,paid,120,1000,no,no,no,no,no,no,no,no,yes,no,yes,no,,yes,other,‚ne,yes,no,2/20/16,certified,yield,1,120,10,225,yes,manual,no,weeding,yes,8,NPK/Urea,18 46 00 urÈe 46%,300,no,,no,,yes,weedone propanil,6/20/16,2,20,80,shop,,2550,market,7/20/16,1,yes,10000,yes,0,,yes,3,irrigated_rice,subsistence,yes,1,8/10/16,8/25/16,120,120,225,sahel 108,bank,credit,yes,NPK/Urea,,9/27/16,NPK,100,176220,yes,10/27/16,Urea,200,48660,no,,yes,350000,350000,bank,7%,yes,irrigated_rice,NPK/Urea,Bassin/Submersion,71000,river
12,12,3752,3537,Validated,Enable,2,8/29/16 22:24,1,owned,0,10569,-16.06780905159 | 16.422346415339,Deck,black,medium,flat,3644,3752,validated,8/29/16 22:24,yes,6,irrigated_rice,,subsistence,42,family,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,no,,,yes,no,2/17/16,certified,yield,0,130,0,300,herbicide,,no,,yes,9,DAP/Urea,inconu urÈe 46%,450,no,,no,,yes,weedone et propanil,7/18/16,20,20,85,shop,,2550,market,8/18/16,1,yes,10000,no,0,,yes,3,irrigated_rice,subsistence,yes,1,8/10/16,8/24/16,120,120,300,sahel 108,bank,credit,yes,NPK/Urea,,9/24/16,NPK,100,8810,yes,11/26/16,Urea,250,8110,no,,yes,350000,350000,bank,7%,yes,irrigated_rice,DAP/Urea,,71000,river
13,13,3753,3532,Validated,Enable,4,10/15/16 15:43,1,owned,0.55,5088,-16.105153333333 | 16.422888333333,Deck,black,medium,flat,3645,3753,validated,8/29/16 15:17,yes,5,irrigated_rice,,subsistence,40,paid,120,1700,no,no,no,no,no,no,no,no,yes,no,yes,no,,no,,,yes,no,2/28/16,certified,yield,0,140,10,300,herbicide,,no,,yes,7,DAP/Urea,inconu et urÈe,450,no,,no,,yes,weedone propanil,7/26/16,4,40,87,shop,,1131,cooperative,8/23/16,2,yes,10000,no,0,not_at_all,yes,5,irrigated_rice,subsistence,yes,4,8/15/16,9/28/16,140,120,300,sahel 108,bank,credit,yes,NPK/Urea,,10/24/16,NPK,100,8810,yes,12/22/16,Urea,200,8110,no,,yes,350000,350000,bank,7%,yes,irrigated_rice,NPK/Urea,Bassin/Submersion,81000,river
14,14,3754,3535,Validated,Enable,3,10/18/16 15:45,1,owned,0.65,5537,-16.107848333333 | 16.422268333333,Deck,black,medium,flat,3648,3754,validated,8/29/16 16:06,yes,6,irrigated_rice,,subsistence,10,family,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,no,,,no,no,2/18/16,certified,yield,0,130,10,300,herbicide,herbicide,no,,yes,32,DAP/Urea,inconu et urÈe 46%,350,no,,no,,yes,weedone et propanil,8/19/16,20,20,85,shop,,1700,market,9/28/16,2,yes,10000,no,0,not_at_all,yes,6,irrigated_rice,subsistence,yes,4,8/10/16,8/24/16,130,120,300,sahel 108,bank,credit,yes,NPK/Urea,,9/23/16,NPK,100,17620,yes,11/24/16,Urea,250,47660,no,,yes,390000,390000,bank,5%,yes,rainfed_rice,NPK/Urea,Bassin/Submersion,81000,river
15,15,3755,3536,Validated,Enable,4,11/21/16 13:49,3,owned,1,11240,-16.077106026122 | 16.444316369662,Deck,brown,medium,flat,3649,3755,validated,9/1/16 13:16,yes,3,irrigated_rice,,subsistence,2,family,0,0,no,no,no,no,no,no,no,no,yes,no,yes,no,,no,,,no,no,2/7/16,certified,yield,0,120,10,300,herbicide,herbicide,no,,yes,7,NPK/Urea,18 46 00 / urÈe 46 %,350,no,,no,,yes,weedone et propanil,7/23/16,10,20,85,shop,,1275,market,8/24/16,2,yes,10000,no,0,not_at_all,yes,3,irrigated_rice,subsistence,yes,1,8/10/16,8/27/16,120,120,300,sahel 108,bank,credit,yes,NPK/Urea,,9/30/16,NPK,100,17620,yes,10/24/16,Urea,250,47660,no,,yes,373000,373000,bank,7%,yes,irrigated_rice,NPK/Urea,Bassin/Submersion,81000,river
